propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,district,neighborhood,parkingSpace,labels
94355843,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dd/d9/9c/886649561.jpg,ND JGMARX 1A,15,1,950.0,flat,rent,91.0,True,2,1,barrio Marxalenes,València,València,es,39.4843935,-0.3805233,False,https://www.idealista.com/inmueble/94355843/,"Alquilo luminoso piso en la Calle Doctor Montoro en Marxalenes; actualmente consta de tres habitaciones, un extenso y espacioso salón-comedor con cocina office integrada y completamente equipada (horno, microondas, lavavajillas, lavadora, secadora, etc. ), un baño, balcón y una significativa terraza interior.    La propiedad se encuentra amueblada en su plenitud y ofrece unos acabados de gran calidad; el suelo es parquet de madera plena, doble aire acondicionado de alta potencia (frio y calor), dos radiadores eléctricos e incluso una gran televisión de plasma prácticamente a estrenar.     Por otro lado, la finca está localizada en una esplendida zona del barrio de Marxalenes; con el parque de a dos minutos, el rio Turia a cinco minutos andando; bien comunicada, con tranvía, supermercados y centros de salud y todo clase de servicios a poca distancia. Comunicarse con el 615 65 11 79 Jesús. Queda libre a partir del 1 de septiembre.",False,good,False,True,10.0,{'typology': 'flat'},"{'subtitle': 'Marxalenes, València', 'title': 'Piso'}",False,False,False,False,False,False,La Saïdia,Marxalenes,,
98616050,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c3/7b/98/1018163144.jpg,mca,17,9,750.0,flat,rent,93.0,True,3,1,Avenida del Cid,València,València,es,39.4692813,-0.4063922,False,https://www.idealista.com/inmueble/98616050/,"Aska inmobiliaria dispone de esta magnifica vivienda en alquiler muy luminosa con reforma a estrenar. La vivienda consta de 93 m2 construidos y se distribuye en 3 habitaciones, salón comedor con mirador, 1 baño completo con ducha, gran cocina independiente office con galería y alacena con gran espacio de almacenaje. La zona dispone de todo tipo de servicios, supermercados, farmacias, hospital general, parques, colegios, esta muy bien comunicado por transporte publico, lineas de EMT, metro a dos minutos caminando. Ven a verlo te gustara! Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual. ”.",False,good,False,True,8.0,{'typology': 'flat'},"{'subtitle': 'Tres Forques, València', 'title': 'Piso en Avenida del Cid'}",False,False,False,False,False,False,L'Olivereta,Tres Forques,,
98615697,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/33/a3/a3/1018152749.jpg,HV - 134,27,10,2100.0,flat,rent,122.0,True,3,2,barrio Penya-Roja,València,València,es,39.4580812,-0.3525026,False,https://www.idealista.com/inmueble/98615697/,"Para acceder a toda nuestra oferta inmobiliaria haga click sobre nuestro logo. HABITÚRIA VALENCIA le ofrece en alquiler el siguiente inmueble:  DISPONIBLE A PARTIR DE OCTUBRE 2022. Magnífica vivienda en Valencia Ciudad, junto a la Av. Francia y la Ciudad de las Ciencias, en el excepcional barrio de Penya – Roja, muy cercano al antiguo Cauce del Rio Turia. Cabe destacar que el enclave donde se ubica este inmueble cuenta una excelente comunicación de medios de transporte público, es una zona tranquila y muy cercana a colegios, supermercados, farmacias etc.. . Cuenta con 122 m² construidos que se distribuyen en acogedora entrada, amplia cocina office con armariadas y gran capacidad de almacenaje, equipada con los principales electrodomésticos y espacio para ubicar una mesa, además cuenta con acceso a la galería donde se ubica la zona de lavado. El salón comedor posee unas amplias dimensiones donde se diferenciar la zona sala de estar y zona de refectorio, contando con unos amplios ventanales que otorgan una gran entrada de luz además de una buena ventilación y permiten el acceso a un amplio balcón corrido con bonitas vistas. En cuanto a la zona de noche, que queda bien separada de la zona de noche, encontramos 3 dormitorios y 2 baños completos. El 1er dormitorio es individual, y cuenta con un gran armario empotrado. El 2º dormitorio es individual y espacioso, y posee también un gran armario empotrado. El 3er dormitorio, que es el principal cuenta con un gran espacio y salida a un agradable balcón que permite un gran desahogo y unas vistas despejadas. Además, cuenta con baño en suite. El 2º baño con que cuenta el inmueble asiste a los otros 2 dormitorios. Esta encantadora vivienda se encuentra completamente amueblada y equipada con los principales electrodomésticos. Además cuenta con cuenta con A/A por conductos frío y calor. En el precio se incluye una plaza de garaje para coche grande. Gastos de comunidad e IBI incluidos. Se le informa de que este anuncio no es vinculante y no tiene carácter contractual, se muestra a nivel informativo y puede contener errores.",False,good,False,True,17.0,{'typology': 'flat'},"{'subtitle': 'Penya-Roja, València', 'title': 'Piso'}",True,False,False,False,False,False,Camins al Grau,Penya-Roja,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
98615640,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9c/ac/4d/1018150676.jpg,1564110660997,17,3,1000.0,flat,rent,110.0,True,3,2,Avenida de la Malva-Rosa,València,València,es,39.4809758,-0.3283196,False,https://www.idealista.com/inmueble/98615640/,"Este piso se encuentra en Avinguda de la Malva-Rosa, 46011, Valencia, Valencia, en la planta 3. Es un piso que tiene 110 m2 y dispone de 3 habitaciones y 2 baños. Incluye cocina amueblada y incluye estudiantes, luminoso, buen estado, cocina equipada, amueblado, a reformar y exterior.  BARRIO Ubicado cerca de la zona universitaria y a escasos minutos de la playa malvarrosa Es una zona con todo tipo de comercios cerca como supermercados, farmacias y zona de ocio para jóvenes y con acceso a cualquier tipo de transporte público para comunicarse con el resto de la ciudad A DESTACAR Buen estado, a reformar Localización Luminoso.",True,renew,False,False,9.0,{'typology': 'flat'},"{'subtitle': 'Playa de la Malvarrosa, València', 'title': 'Piso en Avenida de la Malva-Rosa'}",False,False,False,False,False,False,Poblats Marítims,Playa de la Malvarrosa,,
91059629,https://img3.idealista.com/blur/WEB_LISTING/270/id.pro.es.image.master/c3/9a/b1/808315590.jpg,4005,18,2,800.0,flat,rent,90.0,True,3,1,"Calle Ruzafa, 58",València,València,es,39.4634127,-0.3722812,True,https://www.idealista.com/inmueble/91059629/,"Piso acogedor todo exterior muy lumonoso y ventilado, es un segundo sin ascernsor rodeado de comercios y parada de autobus, parking público cerca y junto al mercado municipal, en su interior encontramos 2 patios de luces, 3 habitaciones y 1 baño y 6 balcones.",False,good,False,False,9.0,{'typology': 'flat'},"{'subtitle': 'Russafa, València', 'title': 'Piso en Calle Ruzafa, 58'}",False,False,False,False,False,False,L'Eixample,Russafa,,
98615570,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e8/ee/5b/1018147804.jpg,,11,2,950.0,duplex,rent,104.0,True,2,2,"Calle Democracia, L'Olivereta",València,València,es,39.4739632,-0.4006955,False,https://www.idealista.com/inmueble/98615570/,"Estupendo Dúplex Reformado y Amueblado, amplios espacios, 2 habitaciones, 2 baños, terraza, balcón, cocina equipada con electrodomésticos, iluminación led indirecta, aire acondicionado frio/calor. Excelente ubicación, con fácil acceso a transporte publico.",False,good,False,False,9.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Nou Moles, València', 'title': ""Dúplex en Calle Democracia, L'Olivereta""}",False,False,False,False,False,False,L'Olivereta,Nou Moles,,
96848811,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3d/c0/88/958179523.jpg,,11,bj,620.0,flat,rent,60.0,False,2,1,Calle Berenguer Montoliu,València,València,es,39.4819196,-0.3298075,False,https://www.idealista.com/inmueble/96848811/,"Se alquila planta baja en C. Gran Canaria. Reformada, con muebles y electrodomésticos. Vivienda compuesta por comedor con cocina americana (a parte despensa), dos dormitorios y un cuarto de baño. Para mas información nos puede llamar. No se permite el empadronamiento.",False,good,False,False,10.0,{'typology': 'flat'},"{'subtitle': 'Playa de la Malvarrosa, València', 'title': 'Piso en Calle Berenguer Montoliu'}",False,False,False,False,False,False,Poblats Marítims,Playa de la Malvarrosa,,
98600063,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7e/d7/be/1017644018.jpg,P1849,17,4,950.0,flat,rent,95.0,True,2,1,barrio Russafa,València,València,es,39.4634884,-0.3756255,False,https://www.idealista.com/inmueble/98600063/,"Vivienda reformada, sin ascensor, en el barrio de Ruzafa, ubicada en la cuarta planta, vivienda con 3 balcones (uno de ellos grande con capacidad para silla y mesas), suelo de mosaico y techos altos, aire acondicionado, la vivienda está compuesta por 1 dormitorio doble con vestidor, 1 despacho o zona de estudio, 1 baño completo con ducha, la cocina también reformada tiene todos los electrodomésticos, la vivienda está completamente amueblada con muebles nuevos. No tiene ascensor Person Inmobiliaria de persona a persona.",True,good,False,False,10.0,{'typology': 'flat'},"{'subtitle': 'Russafa, València', 'title': 'Piso'}",False,False,False,False,False,False,L'Eixample,Russafa,,
96622945,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d5/44/60/951877355.jpg,P1546,30,1,2000.0,flat,rent,280.0,True,4,2,Avenida de Pío XII,València,València,es,39.4798581,-0.3921904,False,https://www.idealista.com/inmueble/96622945/,"Espectacular vivienda de 280 m2 distribuidos en 150 m2 de terraza y 130 m2 de vivienda.  Cuenta con salón comedor amplio, cocina equipada y amueblada, cuatro dormitorios dobles, con armarios empotrados y uno de ellos con baño en suite, y otro baño completo que da servicio al hogar. Todos los dormitorios cuentan con aire acondicionado y calefacción. Terraza con posibilidades para zona de barbacoa, zona de chill-out, piscina o incluso poder tapar una parte de la misma para ganar más espacio para la vivienda.  Plaza de garaje por 100€/mes opcional. Se admiten mascotas. Zona inmejorable rodeada de infinidad de servicios, como es el centro comercial Nuevo Centro, Hipercor.. . Person Inmobiliaria de persona a persona Encuentra más en.",True,good,False,True,7.0,{'typology': 'flat'},"{'subtitle': 'Campanar, València', 'title': 'Piso en Avenida de Pío XII'}",True,False,False,False,False,False,Campanar,Campanar,,
97942039,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/93/56/fa/1012406984.jpg,P1754,19,3,1290.0,flat,rent,115.0,True,3,2,barrio El Pla del Remei,València,València,es,39.46919,-0.3665733,False,https://www.idealista.com/inmueble/97942039/,"Estupendo piso en alquiler para larga estancia SIN amueblar. SOLO con garantía de Aval o Cheque de entidad Bancaria (por importe de una anualidad) y vencimiento a la duración contractual. La vivienda se compone de un amplio salón, tres dormitorios con armarios empotrados, dos baños y una cocina equipada con electrodomésticos (frigorífico, lavadora, lavavajillas, horno, vitrocerámica, campana extractora y caldera). Calefacción individual de gas ciudad, aire acondicionado con regulador individual por zona, suelos de mármol Serpeggiante, ventanas y puertas exteriores de climalit. No se admiten mascotas. Gastos comunidad, Ibi y seguro de continente incluidos en el precio. Excelente ubicación, a escasos metros del Mercado de Colón y Gran Vía. Person Inmobiliaria de persona a persona.",True,good,False,True,11.0,{'typology': 'flat'},"{'subtitle': 'El Pla del Remei, València', 'title': 'Piso'}",True,False,False,False,False,False,L'Eixample,El Pla del Remei,,
97958356,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cd/0b/0f/996263854.jpg,P1759,31,3,975.0,flat,rent,96.0,True,2,1,barrio Russafa,València,València,es,39.4612884,-0.3786255,False,https://www.idealista.com/inmueble/97958356/,"Vivienda reformada en el barrio de Ruzafa, ubicada en la tercera planta, vivienda con 3 balcones (uno de ellos muy grande con capacidad para silla y mesas), suelo de mosaico y techos altos, la vivienda está compuesta por dos dormitorios, 1 baño completo con ducha, la cocina también reformada tiene todos los electrodomésticos, la vivienda está completamente amueblada con muebles nuevos.  No tiene ascensor. No se aceptan estudiantes. Person Inmobiliaria de persona a persona.",False,good,False,False,10.0,{'typology': 'flat'},"{'subtitle': 'Russafa, València', 'title': 'Piso'}",False,False,False,False,False,False,L'Eixample,Russafa,,
98353600,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ae/9a/0e/1017055379.jpg,P1817,20,1,1450.0,flat,rent,178.0,True,3,2,barrio Albors,València,València,es,39.465921,-0.3542297,False,https://www.idealista.com/inmueble/98353600/,"Increíble vivienda de 178 m2 con terraza de 30 m2 Vivienda que dispone de salón comedor con cocina, tres amplios y dobles dormitorios dos cuartos de baños totalmente completos.  Amplia terraza de 30 m2.  PLAZA DE GARAJE OPCIONAL POR 100€ Aislamientos climalit, aire acondicionado frio/calor en toda la vivienda. Zona inmejorable conectada con servicios como transporte público, colegios, supermercados.. . Además a unos minutos del centro de Valencia y cerca de la playa Person Inmobiliaria pone a su disposición un equipo de profesionales del sector inmobiliario con gran experiencia para llevar a cabo con éxito sus operaciones de compra, venta o alquiler de su propiedad o local comercial. Person Inmobiliaria de persona a persona.",True,good,False,True,8.0,{'typology': 'flat'},"{'subtitle': 'Albors, València', 'title': 'Piso'}",True,False,False,False,False,False,Camins al Grau,Albors,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 100.0}",
